"県下","けんか","in the prefecture, prefectural"
"客席","きゃくせき","guest seating (e.g. theater, stadium), passenger seat (e.g. taxi); audience"
"活字","かつじ","printing type, movable type; printed text, print"
"欲求","よっきゅう","desire, want, will, wish, urge, craving"
"想定","そうてい","hypothesis, supposition, assumption, expectation, anticipation"
"此処等","ここら","around here, hereabouts; (around) this point, about now"
"自室","じしつ","one's own room"
"却って","かえって","on the contrary, rather, instead, all the more"
"やる気","やるき","will (to do something), drive, motivation, enthusiasm, eagerness"
"","コンビニ","convenience store"
"医","い","medicine, the healing art, healing, curing; doctor"
"吹き込む","ふきこむ","to blow in (of wind, rain, etc.); to blow (air) into (e.g. a balloon), to breathe (new life) into; to inspire (someone) with, to put into someone's head, to instill, to infuse, to indoctrinate with; to record (audio; on tape, vinyl, etc.)"
"現実的","げんじつてき","realistic, pragmatic"
"宿舎","しゅくしゃ","lodging (house), accommodation, hotel; housing (for government employees)"
"絶対的","ぜったいてき","absolute"
"癌","がん, ガン","cancer"
"釈放","しゃくほう","release, liberation, acquittal"
"黒衣","こくい, こくえ, くろぎぬ","black clothes"
"損害","そんがい","damage, injury, loss"
"晩年","ばんねん","one's later years, final years (in life)"
"法師","ほうし, ほっし","Buddhist priest, bonze; layman dressed like a priest; person"
"係長","かかりちょう","subsection head, assistant manager, chief clerk"
"退場","たいじょう","leaving (a hall, meeting, stadium, etc.), exit, walkout; exit (from the stage), leaving the stage"
"牧場","ぼくじょう, まきば","farm (livestock), stock farm, ranch, station; pasture, meadow, grazing land"
"出陣","しゅつじん","going into battle, departure for the front; appearing (in a match); starting an election campaign"
"頂点","ちょうてん","vertex, apex; top (e.g. of a mountain), summit, peak; top (of a profession, field, etc.), summit; peak (of popularity, a boom, etc.), height (e.g. of prosperity), apex, zenith, climax"
"単調","たんちょう","monotony, monotone, dullness; monotone, monotonic"
"烏","カラス, からす","crow (Corvus spp.), raven"
"賑わう","にぎわう","to be crowded with people, to be bustling with; to prosper, to flourish, to do thriving business"
"遺伝子","いでんし","gene"
"末期","まっき","last years, closing years, last days, closing days, end, last stage, final stages, terminal stage (of a disease)"
"創作","そうさく","creation, production, creative work (novel, film, etc.), original work, (creative) writing; fabrication, fiction, invention"
"銃弾","じゅうだん","bullet (from a rifle)"
"軍服","ぐんぷく","military uniform"
"街灯","がいとう","street light, streetlamp"
"見通し","みとおし","unobstructed view, perspective, visibility, vista; forecast, outlook, prospect, prediction; insight, foresight"
"","プラス","plus, addition; positive (number); plus sign, positive symbol; advantage, plus, asset, positive factor, positive effect; profit, gain; anode, plus terminal, positive pole; positive (test result)"
"滅亡","めつぼう","downfall, ruin, collapse, destruction"
"突き当たる","つきあたる","to run into, to collide with, to crash into, to bump against; to come to the end of (a street); to run into (difficulties, problems, etc.), to run up against"
"寝かせる","ねかせる","to put to bed, to let sleep; to lay (something) down, to put on its side; to let (money, goods, etc.) lie idle, to set aside unused, to let (stock) lie unsold; to (let) ferment, to (let) age, to let (dough) rise, to lay down (wine)"
"両国","りょうこく, りょうごく","both countries; Ryōgoku (area of Tokyo)"
"録音","ろくおん","(audio) recording"
"千里","せんり","1000 ri, (a) long distance"
"食い込む","くいこむ","to bite into (e.g. rope into skin), to cut into, to dig into (e.g. of fingernails); to eat into, to encroach, to make inroads, to penetrate (e.g. a market), to break into (e.g. first place), to erode, to cut into (e.g. time, savings); to be wedged (i.e. underwear pulled from the back, driving it between the buttocks)"
"追求","ついきゅう","pursuit (of a goal, ideal, etc.), search, chase, seeking after"
"","モテない, もてない","unwelcome, nerdish, unpopular"
"海水","かいすい","seawater, saltwater"
"嘔吐","おうと","vomiting, emesis"
"","ひらひら, ヒラヒラ","fluttering, flapping, waving; flickering (light, flame, etc.); frill, piece of thin material"
"海底","かいてい, うなぞこ","bottom of the ocean, seafloor, seabed; undersea, submarine"
"適切","てきせつ","appropriate, suitable, fitting, apt, proper, right, pertinent, relevant"
"繰り出す","くりだす","to draw (a thread), to let out (e.g. a rope); to head out as a group, to set out in large numbers, to flock, to sally forth; to send out one after another, to dispatch; to lunge (a spear), to unleash (a punch)"
"平穏","へいおん","tranquil, calm, restful, peaceful, quiet"
"適する","てきする","to fit, to suit"
"転落","てんらく","fall, tumble, spill, plunge, dive; fall (in position, standing, etc.), downfall, descent, degradation, comedown, demotion"
"制限","せいげん","restriction, restraint, limitation, limit"
"可憐","かれん","sweet (e.g. young girls, flowers blooming), touchingly lovely, cute; pitiful, pitiable"
"","マイナス","minus, subtraction, taking away; negative (number); deficit, loss; disadvantage, drawback, handicap; negative charge, cathode, negative terminal, negative pole; minus sign, negative sign; negative (image, effect, thinking, etc.), bad; negative (test result)"
"摘み","つまみ","knob, handle, button; snack (to have with a drink), side dish; a pinch (e.g. of salt); (file) handle; picking, harvesting"
"司令","しれい","command, commander, commandant"
"鉛","なまり","lead (Pb)"
"新人","しんじん","newcomer, new figure, new member, recruit, rookie, new talent, new star; modern humans (from Cro-Magnon man onwards), Homo sapiens"
"辺境","へんきょう","remote region, outlying district, border district, frontier"
"","エピソード","episode, anecdote, vignette; episode"
"手柄","てがら","achievement, feat, meritorious deed, distinguished service"
"敵わない","かなわない","no match for, cannot compete with, not in the same league as, powerless against; cannot stand, cannot bear, cannot put up with, unbearable, intolerable; unable to do, cannot do, impossible"
"引退","いんたい","retirement"
"有能","ゆうのう","able, capable, competent, talented, efficient"
"味噌","みそ, ミソ","miso, fermented condiment usu. made from soybeans; innards (from crabs, shrimps, etc.) resembling miso; key point, main point, good part (of something); weakling, weak person; try"
"嘆息","たんそく","sigh (of grief, disappointment, etc.), grieving, lamenting, deploring"
"標的","ひょうてき","target"
"候補","こうほ","candidate, contender, prospect, pick, choice, list; candidacy, candidature, nomination"
"限定","げんてい","limit, restriction"
"大手","おおて","major company, big company; front castle gate; force attacking the front of a castle"
"部品","ぶひん","parts, accessories, components"
"和解","わかい, わげ","reconciliation, amicable settlement, accommodation, compromise, mediation, rapprochement; court-mediated settlement; translation of a foreign language into Japanese"
"遺族","いぞく","bereaved family, surviving family, family of the deceased"
"上級","じょうきゅう","upper level, upper grade, high rank, advanced level, senior level, upper class"
"凹み","くぼみ, へこみ","hollow, cavity, dent, depression"
"堕落","だらく","depravity, corruption, degradation"
"次長","じちょう","vice-chief, vice-director, assistant director, deputy manager"
"","インデックス, インデクス, インデキス","index"
"寛大","かんだい","tolerant, generous, lenient, broad-minded, magnanimous"
"","インタビュー, インタヴュー, インタビュ, インタービュー, インタビュウ, インタヴュ","interview (on television, in a newspaper, etc.)"
"外相","がいしょう","Foreign Minister"
"晒す","さらす","to expose (to the sun, public, danger, etc.); to bleach, to refine; to rinse (vegetables), to soak; to doxx, to dox, to make someone's private information public without permission; to sentence (someone) to public humiliation"
"","シスター","sister (sibling); (Catholic) sister; sister (female partner in a homosexual relationship)"
"","ベース, ベイス","base, basis, theme, basic ingredient; base (e.g. military), depot; base, base bag"
"形容","けいよう","description, expression (in words), qualification (e.g. of a noun with an adjective), modification, figurative expression, figure of speech, metaphor; form, figure, appearance"
"支店長","してんちょう","branch manager, manager of a branch office"
"速やか","すみやか","quick, speedy, prompt, rapid, swift"
"武将","ぶしょう","military commander"
"仮定","かてい","assumption, supposition, hypothesis; supposition"
"一節","いっせつ","one passage, one paragraph, one stanza, one verse, one section (of a piece of music), one syllable"
"塞がる","ふさがる, ふたがる","to be closed, to be blocked, to be healed (e.g. wound), to be shut up; to be clogged, to be plugged up; to be occupied, to be taken (e.g. accommodation)"
"課題","かだい","subject, theme, issue, matter; homework, assignment; task, challenge, problem, question"
"糸口","いとぐち","beginning, start, first step; clue, lead, hint; thread end"
"起源","きげん","origin, beginning, source"
"夢想","むそう","dream, vision, reverie"
"","よろよろ, ヨロヨロ","tottering, staggering, faltering, reeling"
"阻む","はばむ","to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart"
"緒戦","しょせん, ちょせん","beginning of hostilities, beginning of competition; first match (in a series)"
"解除","かいじょ","termination (of a contract), cancellation, rescinding, rescission; lifting (of a ban, sanctions, etc.), removal, release (from obligations), cancellation (of a warning, alert, etc.), calling off (e.g. a strike), releasing (a lock)"
"飛行場","ひこうじょう","airfield, airport"
"","グラウンド, グランド","(sports) ground, (playing) field, playground, stadium"
"科学的","かがくてき","scientific"
"連ねる","つらねる","to line up, to put in a row; to add (to a group), to accept (as a member of an organization, etc.), to join (e.g. a list); to link, to put together, to string together (e.g. compliments), to enumerate; to take along with, to bring with"
"","ナイト","knight"
"投げ込む","なげこむ","to throw into"
"小島","こじま, しょうとう, おじま","small island, islet"
"活気","かっき","energy, vigour, vigor, liveliness, spirit, life, animation"
"","ダイヤモンド, ダイアモンド","diamond; diamond, infield; diamonds (suit)"
"卵","たまご","eggs, egg, spawn, roe; (hen's) egg; a ... in the making, future (lawyer, doctor, etc.), budding ...; beginning, origin, infancy"
"昆虫","こんちゅう","insect, bug"
"己","おのれ","oneself (itself, etc.); I, me; you; by oneself (itself, etc.); interjection expressing anger or chagrin"
"","ポスター, ポスタ","poster"
"好ましい","このましい","nice, likeable, desirable"
"直撃","ちょくげき","direct hit"
"遺憾","いかん","regrettable, unsatisfactory, deplorable, lamentable"
"就任","しゅうにん","assumption (of office), taking up (a post), inauguration, installation"
"鯨","くじら, クジラ","whale (Cetacea spp.)"
"四本","よんほん, しほん","four (long cylindrical things)"
"山荘","さんそう","mountain villa, mountain retreat, mountain cottage"
"残忍","ざんにん","brutal, cruel, merciless, ruthless, cold-blooded"
"お風呂","おふろ","bath"
"","カフェ, カフェー, キャフェ, カッフェー, カッフェ","café, cafe, coffeehouse; hostess bar (serving western alcoholic beverages; Taisho and Showa period)"
"墜落","ついらく","fall, crash (of an aircraft)"
"界隈","かいわい","neighborhood, neighbourhood, vicinity"
"製作","せいさく","manufacture, production; production (of a film, play, TV show, etc.)"
"","ラブ, ラヴ","love; love (in tennis, badminton, etc.)"
"牧野","ぼくや","pasture land, ranch"
"容疑","ようぎ","suspicion, charge"
"","ゲート","gate (for entry, boarding, etc.); gate; logic element"
"見学","けんがく","inspection, study by observation, field trip, tour, review; sitting out (e.g. PE class)"
"系統","けいとう","system; lineage, ancestry, family line; group (e.g. of colors) (colours), family (e.g. of languages), party, school (of thought); close (evolutionary) relationship; a population sharing a common ancestor (in genetics), strain (e.g. bacterial)"
"若々しい","わかわかしい","youthful, young, young-looking"
"火薬","かやく","gunpowder, powder"
"栄える","さかえる","to prosper, to flourish"
"無謀","むぼう","reckless, thoughtless, rash, ill-advised, impulsive, mad (e.g. scheme)"
"突き","つき","thrust, stab, lunge, pass (in fencing); tsuki, thrust to the throat (in kendo); tsuki, thrust to the chest"
"脱走","だっそう","escape, flight, breakout, fleeing, desertion"
"懇願","こんがん","pleading, entreaty, supplication, petition"
"引き離す","ひきはなす","to pull apart, to separate; to have a lead over, to pull ahead of, to outdistance"
"変態","へんたい","transformation; abnormality; sexual perversion, pervert; metamorphosis; transformation, transition, modification"
"仮","かり","temporary, provisional, interim, tentative; fictitious, assumed (name), alias; hypothetical, theoretical"
"追い込む","おいこむ","to herd, to drive, to chase, to corral; to corner, to force someone into doing; to go hard, to push yourself, to make a last charge; to run on (e.g. lines in printing); to have two strikes"
"休憩","きゅうけい","rest, break, recess, intermission"
"苦心","くしん","pains, hard work, effort, trouble, labour, labor"
"余分","よぶん","extra, excess, surplus"
"檸檬","レモン","lemon"
"迷宮","めいきゅう","labyrinth, maze; mystery; dungeon"
"広まる","ひろまる","to spread, to be propagated"
"消費","しょうひ","consumption, expenditure, spending"
"支援","しえん","support, backing, aid, assistance"
"体調","たいちょう","physical condition, state of health, shape"
"実戦","じっせん","combat, battle, action, active service, actual fighting"
"事務室","じむしつ","office (room)"
"","アトリエ","atelier, studio, workshop"
"華麗","かれい","splendid, magnificent, gorgeous"
"登場人物","とうじょうじんぶつ","character (in a play, novel, film, etc.), dramatis personae"
"西側","にしがわ","west side, west bank"
"料理屋","りょうりや","restaurant"
"つま先","つまさき","toes, tips of the toes, toe of a shoe, sock, etc."
"","モード","mode, manner, way; mode; mode"
"承認","しょうにん","recognition, acknowledgement, acknowledgment, approval, consent, agreement"
"回想","かいそう","recollection, retrospection, reflection, reminiscence"
"ひっくり返る","ひっくりかえる, ひっくりがえる","to be overturned, to be reversed, to turn over, to capsize; to fall down, to tumble down, to topple over, to lie on one's back"
"交代","こうたい, こうだい","change, alternation, rotation, replacement, substitution, shift, relief, taking turns"
"果てしない","はてしない","endless, boundless, everlasting"
"","トラップ","trap"
"釜","かま","iron pot, kettle"
"","ポスト","postbox, mailbox, mail box, pillar box; post, position; post (e.g. goalpost); post- (e.g. post-Cold War)"
"","ガウン","gown, elegant dress; dressing gown, bathrobe"
"各自","かくじ","each (person), everyone, individual, respective"
"蛍","ほたる, ホタル","firefly (Luciola cruciata), lightning bug, glowworm"
"閉鎖","へいさ","closing, closure; shutdown, lockout"
"遅刻","ちこく","lateness, tardiness, arriving late"
"家柄","いえがら","social standing of a family, lineage, parentage, pedigree; good family"
"小便","しょうべん, しょんべん, ションベン","urine, piss, pee, urination; breaking a contract"
"付け","つけ, ツケ","bill, bill of sale, payment invoice; tab (for later payment), credit; contact move, direct attack to an enemy stone; sound effect produced by striking a wooden board with clappers; letter; reason, motive, pretext; one's fortune, one's luck"
"立ち直る","たちなおる","to regain one's footing, to get back on one's feet; to recover, (of the market) to improve"
"差し伸べる","さしのべる","to hold out, to extend (e.g. one's hands), to stretch, to reach out for; to thrust (javelin); to offer (e.g. aid, help, etc.)"
"","ドライブ","drive, trip by car, driving; to (go for a) drive, to go on a trip by car; to drive (e.g. a car); to drive (innovation, change, etc.), to propel; drive"
"教官","きょうかん","teacher, instructor, professor"
"博物館","はくぶつかん","museum"
"西方","せいほう, さいほう, にしがた","western direction; Western Pure Land (Amitabha's Buddhist paradise); western fighter in a match (e.g. sumo)"
"潔い","いさぎよい","gracious (defeat, apology, etc.), graceful, honourable (e.g. death), noble, gallant, brave, manly, sportsmanlike; upright, righteous, honest, pure (heart), innocent; unspoiled (scenery, etc.), pure, clean"
"農場","のうじょう","farm (agriculture)"
"高山","こうざん","high mountain, alpine mountain"
"正反対","せいはんたい","exactly the opposite (of), completely opposite, quite contrary"
"斑","むら, ムラ","unevenness (of colour, paint, etc.), irregularity, nonuniformity, blotchiness; unevenness (of quality, results, behaviour, etc.), inconsistency, instability; fickleness, capriciousness, fitfulness"
"いつ頃","いつごろ","about when, about what time, how soon"
"","スケジュール","schedule, program, calendar"
"足場","あしば","scaffold, scaffolding; foothold, footing; foothold (e.g. in business), foundation, base; convenience for transportation, convenience of access (by road or rail)"
"治す","なおす","to cure, to heal"
"連合","れんごう","union, combination, alliance, confederation, coalition; association; RENGO (Japanese Trade Union Confederation)"
"走行","そうこう","running (of a car, bus, etc.), traveling, travelling; running (of a program)"
"抱き合う","だきあう","to embrace each other"
"回答","かいとう","reply, answer"
"顔見知り","かおみしり","acquaintance"
"使い方","つかいかた","way of using (something), way to use, how to use, usage, use; way of handling (employees, subordinates, etc.), way of treating, treatment, management"
"","ギター","guitar"
"露出","ろしゅつ","exposure, laying bare, baring (e.g. skin); exposure; (media) exposure, appearance (on TV, in magazines, etc.)"
"","チャイム","chime, bell (e.g. doorbell)"
"改まる","あらたまる","to be renewed, to change; to be improved, to be reformed, to be revised, to be corrected; to stand on ceremony, to be formal; to take a turn for the worse (of an illness), to take a serious turn"
"国土","こくど, くにつち","country, territory, domain, realm"
"空き地","あきち","vacant land, unoccupied ground, empty lot; empty point"
"進路","しんろ","route, course, path; one's future course (e.g. after graduating high school)"
"瑞西","スイス","Switzerland"
"毎月","まいつき, まいげつ","every month, each month, monthly"
"違反","いはん","violation, offense, offence, breach, transgression, infringement, contravention"
"婚約者","こんやくしゃ","fiance, fiancee"
"後世","こうせい","posterity, future generations, future life"
"丁重","ていちょう","polite, courteous, hospitable"
"騒々しい","そうぞうしい","noisy, loud, boisterous, clamorous, raucous; turbulent, unsettled, restless"
"客観的","きゃっかんてき, かっかんてき","objective"
"渇く","かわく","to be thirsty, to feel thirsty; to thirst for, to crave"
"性能","せいのう","ability, performance, efficiency"
"密室","みっしつ","locked room; secret room"
"明け方","あけがた","dawn, daybreak"
"若い頃","わかいころ","one's youth, early life, one's early days, one's early years"
"冷やかす","ひやかす","to banter, to make fun of, to jeer at; to cool, to refrigerate; to window-shop, to look at without buying"
"取り組む","とりくむ","to grapple with, to wrestle with, to engage in a bout, to be matched against; to tackle (e.g. a problem), to come to grips with, to work hard on"
"公開","こうかい","opening to the public, making available to the public, exhibiting, unveiling, release (of a film, information, etc.), disclosure, publication"
"吊るす","つるす","to hang, to hang up"
"回路","かいろ","circuit (electric); cycle (e.g. Krebs cycle)"
"面目","めんぼく, めんもく, めいぼく","face, honour, honor, reputation, prestige, dignity, credit; appearance, look"
"蝦夷","えみし, えぞ, エミシ","Emishi, Ezo, non-Yamato peoples in northern Japan; Yezo, Hokkaido, Sakhalin and the Kuril Islands"
"弛む","たるむ, たゆむ","to slacken, to loosen, to relax, to droop (e.g. loose or flabby skin), to sag (ceiling); to slack off (e.g. one's work, attention), to not put one's heart in"
"酸化","さんか","oxidation, oxidization"
"主題","しゅだい","subject, theme, motif"
"動員","どういん","mobilization, mobilisation"
"上部","じょうぶ","top part, surface"
"やり切れない","やりきれない","unable to finish (on time, etc.); unbearable, intolerable, beyond endurance, too much"
"合間","あいま","interval, break, pause, spare moment"
"磯","いそ","(rocky) beach, seashore"
"","モール","(shopping) mall, shopping centre; mall (pedestrianized street)"
"尊重","そんちょう","respect, esteem, regard"
"特権","とっけん","privilege, special right"
"典型的","てんけいてき","typical, representative, archetypal, quintessential, stereotypical, model"
"葱","ねぎ, ネギ","Welsh onion (Allium fistulosum), Japanese bunching onion, green onion, spring onion, scallion"
"人間的","にんげんてき","human, human-like, as a person"
"無知","むち","ignorance, innocence, stupidity"
"海老","えび, エビ","prawn, shrimp, lobster"
"並木","なみき","roadside trees, row of trees"
"屏風","びょうぶ","folding screen"
"絶好","ぜっこう","best, ideal, perfect"
"砂利","じゃり, ざり","gravel, ballast, pebbles; child, rugrat, ankle-biter"
"居合わせる","いあわせる","to happen to be present"
"古風","こふう","old-fashioned, archaic, antique, antiquated"
"","プレイ, プレー","play, recreation; playing (a sport), play, game; playing (a musical instrument), musical performance; play (theatrical performance); play ball, starting a match"
"保管","ほかん","charge, custody, safekeeping, deposit, storage"
"芸人","げいにん","(TV) comedian; performer (esp. of a traditional art), entertainer; talented person, accomplished person"
"","しないのではないか, ないのではないか","I think (something) won't (something), probably (something) isn't (something)"
"大規模","だいきぼ","large-scale"
"純","じゅん","innocent, chaste, naive; pure, unmixed, genuine, unalloyed"
"鑑定","かんてい","judgement, judgment, expert opinion, appraisal"
"趣","おもむき","meaning, tenor, gist; effect, influence; appearance, aspect; grace, charm, refinement, taste, elegance"
"天候","てんこう","weather"
"地平線","ちへいせん","horizon (related to land)"
"","こそこそ, コソコソ","sneakily, secretly, stealthily, on the sly"
"","マット","mat; canvas (in boxing or wrestling)"
"気がかり","きがかり","worry, anxiety, concern"
"気違い","きちがい, キチガイ, キチゲェ","madness, madman; enthusiast, freak, junkie"
"気温","きおん","(air) temperature"
"暴走","ぼうそう","acting rashly, running wildly, behaving recklessly, rampaging; runaway (process); reckless baserunning"
"停車","ていしゃ","stopping (of a train, car, etc.), stop"
"お早うございます","おはようございます, おはよーございます","good morning"
"","ちょっぴり, ちょぴり","a tiny bit, just a smidgin, a wee bit, very slightly"
"異議","いぎ","objection, dissent, protest"
"粘る","ねばる","to be sticky, to be adhesive; to persevere, to persist, to stick to, to hold out, to linger"
"四季","しき","the four seasons"
"側近","そっきん","close aide (of a powerful person), close associate, entourage, attendant, retainer"
"要領","ようりょう","point, gist, essentials, tenets, outline; knack, trick, the ropes"
"","さらさら, サラサラ","with a rustling sound; rippling (of a stream, etc.), murmuring, purling; slurping down (ochazuke); quickly and easily (e.g. write a letter), with ease, smoothly, fluently; smooth and dry (hair, sand, etc.), silky, powdery (e.g. snow), free-flowing (e.g. blood)"
"領土","りょうど","territory, domain, dominion, possession"
"手記","しゅき","note, memorandum, memo; memoirs, personal account"
"奥地","おくち, おうち","interior, backwoods, hinterland, back regions"
"","イベント, イヴェント, エベント","event"
"総督","そうとく","governor-general, governor, viceroy"
"家政婦","かせいふ","housekeeper, maid"
"悲痛","ひつう","grief, sorrow, extreme sadness, heartbreak"
"伯剌西爾","ブラジル","Brazil"
"素材","そざい","ingredient, (raw) material, resource; unprocessed timber, raw timber; subject matter, topic"
"入社","にゅうしゃ","joining a company, getting a job with a company, starting work at a company"
"雑木林","ぞうきばやし, ざつぼくりん","grove of miscellaneous trees, copse, coppice, thicket"
"震動","しんどう","shock, tremor, impact, vibration"
"仙人","せんにん","immortal mountain wizard (in Taoism), mountain man (esp. a hermit); person not bound by earthly desires"
"解答","かいとう","answer, solution"
"教団","きょうだん","religious organization, religious organisation"
"","パルス","pulse"
"景気","けいき","business conditions, the market, economic activity, economic climate; good (economic) times, prosperity, boom; liveliness, energy, vigour, vigor, spirit"
"腐敗","ふはい","decomposition, putrefaction, putrescence, spoilage; corruption, degeneracy, decay, depravity"
"野獣","やじゅう","wild beast, wild animal, brute"
"四国","しこく","Shikoku (smallest of the four main islands of Japan)"
"会談","かいだん","talks (i.e. formal discussions), conference, meeting"
"混雑","こんざつ","congestion, crush, crowding, jam; confusion, disorder"
"後日","ごじつ, ごにち","in the future, another day, later"
"退却","たいきゃく","retreat, withdrawal, retirement"
"","ぎっしり, ギッシリ, ぎっちり, ギッチリ","tightly (packed), densely, closely, crammed"
"","ビクビク, びくびく","being afraid of, being fearful, being timid, being nervous; trembling, shivering"
"人材","じんざい","capable person, talented person; human resources, personnel"
"一遍","いっぺん","once, one time; exclusively, only, alone"
"","エリート","elite"
"社内","しゃない","within a company, in-house; within a shrine, shrine precincts"
"","ニック","nick"
"寿命","じゅみょう","lifespan, life, lifetime; life (of a battery, lightbulb, etc.), service life, end of an object's (useful) life"
"中途半端","ちゅうとはんぱ","halfway, half measures, unfinished, incomplete, by halves, half-baked, half-cocked, half-hearted, half-arsed, half-assed"
"","チーズ","cheese; tee (piping), T-joint; cheese (said when taking a photograph)"
"臨時","りんじ","temporary, provisional, interim; special, extraordinary, extra"
"","バター, バタ","butter"
"店舗","てんぽ","shop, store, establishment, restaurant"
"空虚","くうきょ","emptiness, hollowness, vacancy, void; inanity, pointlessness, meaninglessness"
"相互","そうご","mutual, reciprocal"
"花びら","はなびら","petal"
"切り離す","きりはなす","to cut off (from), to separate, to detach, to sever, to uncouple"
"忌まわしい","いまわしい","abhorrent, abominable, detestable, disgusting, horrid, repugnant; ominous, inauspicious, unlucky"
"引き止める","ひきとめる","to detain, to check, to restrain, to stop"
"供給","きょうきゅう","supply, provision"
"如し","ごとし","like, as if, the same as"
"見っともない","みっともない","shameful, disgraceful, unsightly, indecent, unseemly, unbecoming, improper"
"揉める","もめる, モメる","to disagree, to dispute, to fight (over)"
"風俗","ふうぞく, フーゾク","manners, customs; public morals; sex service, sex industry, sex-oriented entertainment"
"保温","ほおん","retaining warmth, keeping heat in, heat insulation"
"年生","ねんせい","nth-year student, nth-year pupil"
"威嚇","いかく","threat, intimidation, menace"
"奮って","ふるって","energetically, strenuously, heartily"
"連日","れんじつ","day after day, every day"
"憤り","いきどおり","resentment, indignation, anger"
"疑念","ぎねん","doubt, suspicion, misgivings, scruples"
"反感","はんかん","antipathy, antagonism, animosity, revulsion, ill feeling"
"和らげる","やわらげる","to soften, to moderate, to relieve"
"逸らす","そらす","to turn away (one's eyes, face, etc.), to avert, to divert (e.g. one's attention), to evade (e.g. a question), to change (e.g. the subject); to displease, to annoy, to offend, to upset; to miss (the target, ball, etc.)"
"詐欺","さぎ","fraud, swindle, graft, cheating, trick, scam; saying you're going to do something but in the end not doing it, making promises without keeping them, flaking out"
"先週","せんしゅう","last week, the week before"
"","ロード","road"
"町内","ちょうない","neighborhood, neighbourhood, street, block, town"
"略","りゃく","abbreviation, omission; outline, gist; plan, strategy, scheme"
"心理的","しんりてき","psychological, mental"
"料亭","りょうてい","ryotei, traditional Japanese restaurant (esp. a luxurious one)"
"救出","きゅうしゅつ","rescue, extricate, reclaim, deliverance"
"融資","ゆうし","financing, loan"
"白羽","しらは","white feather"
"講師","こうし","speaker, lecturer; lecturer (at a university or college), instructor; part-time teacher; tutor (at a cram school)"
"解消","かいしょう","cancellation, liquidation, resolution, reduction (e.g. of stress)"
"警護","けいご","bodyguard, escort"
"宿命","しゅくめい","fate, destiny, predestination"
"改革","かいかく","reform, reformation, reorganization"
"第三者","だいさんしゃ","third party, third person, outsider, disinterested person"
"切腹","せっぷく","seppuku, harakiri, ritual suicide by disembowelment; seppuku as a death penalty (where the convict is decapitated by a second as they make the motions to disembowel themself; Edo period)"
"断","だん","decision, judgment, resolution"
"","ブレーキ","brake; (a) stop (to a development, behavior, etc.), (the) brakes"
"誰にでも","だれにでも","anyone, anybody, everyone, whoever"
