"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"確実","かくじつ","certain, sure, definite, reliable, sound, solid, safe, secure"
"駆ける","かける","to run, to dash, to race; to gallop (on horseback), to canter; to advance (against one's enemy), to charge (on horseback)"
"彼ら","かれら","they, them"
"香る","かおる","to smell sweet, to be fragrant"
"脛","すね, はぎ","shin, shank, lower leg"
"支配","しはい","rule, domination, control; direction, management, guidance; control (of one's destiny, public opinion, etc.), governing, influence, sway; government"
"翼","つばさ, よく","wing; Chinese ""Wings"" constellation (one of the 28 mansions); counter for birds or bird wings"
"艦","かん","warship"
"安全","あんぜん, あんせん","safety, security"
"暖かい","あたたかい, あったかい, あったけー","warm, mild, (pleasantly) hot; considerate, kind, genial; warm (of a colour), mellow; having enough money"
"協力","きょうりょく","cooperation, collaboration, help, support"
"塗る","ぬる","to paint, to plaster, to lacquer, to varnish, to spread, to smear, to put up (wallpaper)"
"感心","かんしん","admiration, being impressed; admirable, praiseworthy; astonishment, being appalled"
"助かる","たすかる","to be saved, to be rescued, to survive; to escape harm, to be spared damage; to be helped, to be saved trouble"
"曲","きょく","composition, piece of music, song, track (on a record); tune, melody, air; enjoyment, fun, interest, pleasure"
"悲鳴","ひめい","shriek, scream"
"要するに","ようするに","in short, in a word, to sum up, to put it simply, to make a long story short, after all"
"船","ふね","ship, boat, watercraft, vessel, seaplane; tank, tub, vat, trough; counter for boat-shaped containers (e.g. of sashimi)"
"親父","おやじ, オヤジ","one's father, one's old man, dad, pops; middle-aged (or older) man, old man, geezer; one's boss; proprietor (of a restaurant, store, etc.), landlord; grizzly bear"
"勧める","すすめる","to recommend (someone to do), to advise, to encourage, to urge; to recommend (a book, someone for a position, etc.), to suggest; to offer (a drink, cigarette, seat, etc.)"
"本来","ほんらい","originally, primarily; essentially, intrinsically, naturally, by nature, in (and of) itself; proper, rightful, legal, normal"
"世紀","せいき","century; era; of the century (e.g. fight of the century)"
"呪う","のろう","to curse, to put a curse on, to detest intensely"
"指示","しじ, しし","indication, denotation, designation; instructions, directions"
"解決","かいけつ","settlement, solution, resolution"
"影響","えいきょう","influence, effect, impact"
"逃げ出す","にげだす","to run away, to flee, to make off, to take to one's heels, to escape; to start to run away"
"手段","しゅだん","means, way, measure"
"画家","がか","painter, artist"
"釣る","つる","to fish, to angle, to catch; to lure in, to tempt, to attract, to entice, to allure"
"４月","しがつ","April; fourth month in the lunar calendar"
"９月","くがつ","September; ninth month of the lunar calendar"
"地下","ちか","underground, below the ground; world of the dead, the grave; underground (activities, movement, etc.), secret, illegal, in hiding"
"思考","しこう","thought, consideration, thinking"
"","なりに","in one's own way or style"
"察する","さっする","to guess, to sense, to presume, to judge; to sympathize with, to sympathise with"
"出来るだけ","できるだけ","as much as one can, as much as possible, if at all possible"
"言わば","いわば","so to speak, so to call it, as it were"
"この間","このあいだ, このかん","the other day, lately, recently, during this period; meanwhile, in the meantime"
"次第","しだい","depending on; as soon as, immediately after, upon; as (e.g. ""as one is told"", ""as one wishes""), whatever (e.g. ""whatever is at hand""); order, program, programme, precedence; circumstances, course of events, state of things; reason"
"互いに","たがいに","mutually, with each other, reciprocally, together"
"お話","おはなし","story, tale; talk, discussion"
"最高","さいこう, サイコー","best, supreme, wonderful, finest; highest, maximum, most, uppermost, supreme"
"色んな","いろんな","various, a variety of, all sorts of, many (different)"
"思いつく","おもいつく","to think of, to hit upon, to come into one's mind, to be struck with an idea; to remember, to recall"
"育つ","そだつ","to be raised (e.g. child), to be brought up, to grow (up)"
"差","さ","difference, variation; difference"
"家庭","かてい","home, household, family, hearth"
"系","けい","system, lineage, group; corollary; system (range of strata that correspond to a particular time period); (taxonomical) series"
"夢中","むちゅう","absorbed in, immersed in, crazy about, obsessed with, devoted to; forgetting oneself, daze, trance, ecstasy, delirium; within a dream, while dreaming"
"芝居","しばい","play, drama"
"備える","そなえる","to furnish with, to equip with, to provide, to install; to prepare for, to make preparations for, to make provision for; to possess (all that is needed), to be endowed with, to be equipped with; to be born with, to have since birth"
"混乱","こんらん","disorder, chaos, confusion, mayhem"
"灰色","はいいろ, かいしょく","grey, gray, ashen"
"階","かい","storey, story, floor; stairs; stage (in chronostratigraphy); counter for storeys and floors of a building"
"誠","まこと","truth, reality, fact; sincerity, honesty, faithfulness, good faith; indeed, really, absolutely, truly, actually, very, quite"
"３時","さんじ","3 o'clock; afternoon snack (eaten around 3 o'clock); three ages of Buddhism (following the death of Gautama Buddha; age of the true law, age of the copied law, and age of the degeneration of the law), three ages of the dharma"
"運転手","うんてんしゅ","driver, chauffeur"
"活動","かつどう","activity (of a person, organization, animal, volcano, etc.), action, operation; moving picture"
"次","つぎ","next, following, subsequent; stage, station"
"始末","しまつ","management, dealing with, settlement, cleaning up, disposal; course of events, circumstances, particulars; end result (usu. bad), outcome; economizing, economising, frugality, being thrifty"
"乾く","かわく","to get dry"
"神様","かみさま","God, god, deity, divinity, spirit, kami; ace, king, superior person, god (amongst men)"
"やり方","やりかた","way (of doing), manner, method, means"
"触る","さわる","to touch, to feel; to get involved (with), to approach; to be harmful to, to hinder, to interfere with, to irritate"
"地獄","じごく","hell realm, Naraka; Hell; hell, misery, nightmare, inferno; place where a volcano or hot springs constantly spew smoke or steam"
"繰る","くる","to reel, to wind, to spin (thread); to turn (pages), to flip through (a book), to leaf through (a book), to consult (a dictionary), to refer to (an encyclopedia); to count (e.g. the days); to open one-by-one, to close one-by-one (e.g. shutters)"
"謝る","あやまる","to apologize, to apologise; to refuse, to decline; to be unable to bear, to be defeated (by), to be at a loss"
"","カメラ, キャメラ","camera"
"記事","きじ","article, news story, report, account"
"仕掛ける","しかける","to start, to begin, to commence; to challenge, to pick (a fight), to make (war), to draw (a reaction) from; to set (traps), to plant (explosives), to lay (mines); to make a meld call"
"一斉に","いっせいに","simultaneously, all at once, in unison"
"試合","しあい","match, game, bout, contest"
"手のひら","てのひら, たなごころ, しょう","palm (of the hand)"
"受話器","じゅわき","(telephone) receiver"
"弗","ドル","dollar; money, cash"
"親分","おやぶん","boss, leader, kingpin, chief, head (e.g. of a crime syndicate)"
"招く","まねく","to invite, to ask; to beckon, to wave someone in, to gesture to; to call in, to send for, to summon; to bring on oneself, to cause, to incur, to lead to, to result in"
"残念","ざんねん","regrettable, unfortunate, disappointing, vexing"
"文章","ぶんしょう, もんじょう, もんぞう","writing, composition, essay, article, passage, prose, (writing) style; sentence"
"","パパ","dad, daddy, papa; sugar daddy"
"勝る","まさる","to excel, to surpass, to exceed, to have an edge, to be superior, to outrival; to outweigh, to preponderate"
"明かり","あかり","light, glow, gleam; (a) light, lights, lamp; proof (of innocence)"
